package;test_class;test_case;suite;device;result
com.fsck.k9.debug;MessageOperationsTest;testDeleteFromInside;original;nexus_6p;pass
com.fsck.k9.debug;MessageOperationsTest;testDeleteMessage;original;nexus_6p;pass
com.fsck.k9.debug;MessageOperationsTest;testReplyAll;original;nexus_6p;pass
com.fsck.k9.debug;MessageOperationsTest;testReply;original;nexus_6p;pass
com.fsck.k9.debug;MessageOperationsTest;testDeleteAndRestore;original;nexus_6p;pass
com.fsck.k9.debug;MessageOperationsTest;testForward;original;nexus_6p;pass
com.fsck.k9.debug;VariousMenuTest;testRightMenuContent;original;galaxy_nexus;fail
com.fsck.k9.debug;VariousMenuTest;testSettings;original;galaxy_nexus;fail
com.fsck.k9.debug;VariousMenuTest;testBackToUnifiedInbox;original;galaxy_nexus;fail
com.fsck.k9.debug;VariousMenuTest;testAccountFolders;original;galaxy_nexus;pass
com.fsck.k9.debug;VariousMenuTest;testAbout;original;galaxy_nexus;fail
com.fsck.k9.debug;MessageSortTest;testSortBySubject;original;galaxy_nexus;fail
com.fsck.k9.debug;MessageSortTest;testSortBySender;original;galaxy_nexus;fail
com.fsck.k9.debug;MessageSortTest;testSortByReadUnread;original;galaxy_nexus;fail
com.fsck.k9.debug;MessageSortTest;testSortByArrival;original;galaxy_nexus;fail
com.fsck.k9.debug;MessageSortTest;testSortByDate;original;galaxy_nexus;fail
com.fsck.k9.debug;SelectReadUnreadTest;testMarkAsReadUnread;original;galaxy_nexus;fail
com.fsck.k9.debug;SelectReadUnreadTest;testMarkTwoAsReadUnread;original;galaxy_nexus;fail
com.fsck.k9.debug;SelectReadUnreadTest;testSelectButtons;original;galaxy_nexus;fail
com.fsck.k9.debug;SelectReadUnreadTest;testSetUnsetStarTest;original;galaxy_nexus;fail
com.fsck.k9.debug;SelectReadUnreadTest;testSelectAll;original;galaxy_nexus;fail
com.fsck.k9.debug;MessageButtonsTest;testNavigateMessagesRight;original;galaxy_nexus;fail
com.fsck.k9.debug;MessageButtonsTest;testNavigateMessagesLeft;original;galaxy_nexus;fail
com.fsck.k9.debug;MessageButtonsTest;testInsideMessageButtons;original;galaxy_nexus;fail
com.fsck.k9.debug;SendMessagesTest;testSendMessage;original;galaxy_nexus;fail
com.fsck.k9.debug;SendMessagesTest;testDiscard;original;galaxy_nexus;fail
com.fsck.k9.debug;SendMessagesTest;testSentMessage;original;galaxy_nexus;fail
com.fsck.k9.debug;SendMessagesTest;testDraftSend;original;galaxy_nexus;fail
com.fsck.k9.debug;SendMessagesTest;testDraftDelete;original;galaxy_nexus;fail
com.fsck.k9.debug;MessageOperationsTest;testStarFromInside;original;galaxy_nexus;fail
com.fsck.k9.debug;MessageOperationsTest;testDeleteFromInside;original;galaxy_nexus;fail
com.fsck.k9.debug;MessageOperationsTest;testDeleteMessage;original;galaxy_nexus;fail
com.fsck.k9.debug;MessageOperationsTest;testReply;original;galaxy_nexus;fail
com.fsck.k9.debug;MessageOperationsTest;testReplyAll;original;galaxy_nexus;fail
com.fsck.k9.debug;MessageOperationsTest;testForward;original;galaxy_nexus;fail
com.fsck.k9.debug;MessageOperationsTest;testDeleteAndRestore;original;galaxy_nexus;fail
com.fsck.k9.debug;VariousMenuTest;testRightMenuContent;original;pixel;pass
com.fsck.k9.debug;VariousMenuTest;testSettings;original;pixel;pass
com.fsck.k9.debug;VariousMenuTest;testBackToUnifiedInbox;original;pixel;pass
com.fsck.k9.debug;VariousMenuTest;testAccountFolders;original;pixel;pass
com.fsck.k9.debug;VariousMenuTest;testAbout;original;pixel;pass
com.fsck.k9.debug;MessageSortTest;testSortBySender;original;pixel;pass
com.fsck.k9.debug;MessageSortTest;testSortByReadUnread;original;pixel;pass
com.fsck.k9.debug;MessageSortTest;testSortByArrival;original;pixel;pass
com.fsck.k9.debug;MessageSortTest;testSortByDate;original;pixel;pass
com.fsck.k9.debug;MessageSortTest;testSortBySubject;original;pixel;pass
com.fsck.k9.debug;SelectReadUnreadTest;testMarkAsReadUnread;original;pixel;pass
com.fsck.k9.debug;SelectReadUnreadTest;testMarkTwoAsReadUnread;original;pixel;pass
com.fsck.k9.debug;SelectReadUnreadTest;testSelectButtons;original;pixel;pass
com.fsck.k9.debug;SelectReadUnreadTest;testSetUnsetStarTest;original;pixel;pass
com.fsck.k9.debug;SelectReadUnreadTest;testSelectAll;original;pixel;pass
com.fsck.k9.debug;MessageButtonsTest;testNavigateMessagesRight;original;pixel;pass
com.fsck.k9.debug;MessageButtonsTest;testNavigateMessagesLeft;original;pixel;pass
com.fsck.k9.debug;MessageButtonsTest;testInsideMessageButtons;original;pixel;pass
com.fsck.k9.debug;SendMessagesTest;testDiscard;original;pixel;pass
com.fsck.k9.debug;SendMessagesTest;testSendMessage;original;pixel;fail
com.fsck.k9.debug;SendMessagesTest;testSentMessage;original;pixel;pass
com.fsck.k9.debug;SendMessagesTest;testDraftDelete;original;pixel;pass
com.fsck.k9.debug;SendMessagesTest;testDraftSend;original;pixel;pass
com.fsck.k9.debug;MessageOperationsTest;testDeleteFromInside;original;pixel;pass
com.fsck.k9.debug;MessageOperationsTest;testStarFromInside;original;pixel;fail
com.fsck.k9.debug;MessageOperationsTest;testDeleteMessage;original;pixel;pass
com.fsck.k9.debug;MessageOperationsTest;testDeleteAndRestore;original;pixel;pass
com.fsck.k9.debug;MessageOperationsTest;testReply;original;pixel;fail
com.fsck.k9.debug;MessageOperationsTest;testReplyAll;original;pixel;fail
com.fsck.k9.debug;MessageOperationsTest;testForward;original;pixel;fail
com.fsck.k9.debug;VariousMenuTest;testRightMenuContent;retranslated;pixel_xl;pass
com.fsck.k9.debug;VariousMenuTest;testSettings;retranslated;pixel_xl;pass
com.fsck.k9.debug;VariousMenuTest;testBackToUnifiedInbox;retranslated;pixel_xl;pass
com.fsck.k9.debug;VariousMenuTest;testAccountFolders;retranslated;pixel_xl;pass
com.fsck.k9.debug;VariousMenuTest;testAbout;retranslated;pixel_xl;pass
com.fsck.k9.debug;MessageSortTest;testSortBySubject;retranslated;pixel_xl;pass
com.fsck.k9.debug;MessageSortTest;testSortBySender;retranslated;pixel_xl;pass
com.fsck.k9.debug;MessageSortTest;testSortByReadUnread;retranslated;pixel_xl;pass
com.fsck.k9.debug;MessageSortTest;testSortByArrival;retranslated;pixel_xl;pass
com.fsck.k9.debug;MessageSortTest;testSortByDate;retranslated;pixel_xl;pass
com.fsck.k9.debug;MessageButtonsTest;testNavigateMessagesRight;retranslated;pixel_xl;pass
com.fsck.k9.debug;MessageButtonsTest;testNavigateMessagesLeft;retranslated;pixel_xl;pass
com.fsck.k9.debug;MessageButtonsTest;testInsideMessageButtons;retranslated;pixel_xl;pass
com.fsck.k9.debug;SelectReadUnreadTest;testSetUnsetStarTest;retranslated;pixel_xl;pass
com.fsck.k9.debug;SelectReadUnreadTest;testSelectAll;retranslated;pixel_xl;pass
com.fsck.k9.debug;SelectReadUnreadTest;testSelectButtons;retranslated;pixel_xl;pass
com.fsck.k9.debug;SelectReadUnreadTest;testMarkAsReadUnread;retranslated;pixel_xl;pass
com.fsck.k9.debug;SelectReadUnreadTest;testMarkTwoAsReadUnread;retranslated;pixel_xl;pass
com.fsck.k9.debug;SendMessagesTest;testSendMessage;retranslated;pixel_xl;pass
com.fsck.k9.debug;SendMessagesTest;testDiscard;retranslated;pixel_xl;pass
com.fsck.k9.debug;SendMessagesTest;testSentMessage;retranslated;pixel_xl;pass
com.fsck.k9.debug;SendMessagesTest;testDraftSend;retranslated;pixel_xl;pass
com.fsck.k9.debug;SendMessagesTest;testDraftDelete;retranslated;pixel_xl;pass
com.fsck.k9.debug;MessageOperationsTest;testStarFromInside;retranslated;pixel_xl;pass
com.fsck.k9.debug;MessageOperationsTest;testDeleteAndRestore;retranslated;pixel_xl;pass
com.fsck.k9.debug;MessageOperationsTest;testDeleteFromInside;retranslated;pixel_xl;pass
com.fsck.k9.debug;MessageOperationsTest;testDeleteMessage;retranslated;pixel_xl;pass
com.fsck.k9.debug;MessageOperationsTest;testReply;retranslated;pixel_xl;pass
com.fsck.k9.debug;MessageOperationsTest;testReplyAll;retranslated;pixel_xl;pass
com.fsck.k9.debug;MessageOperationsTest;testForward;retranslated;pixel_xl;pass
com.fsck.k9.debug;VariousMenuTest;testRightMenuContent;retranslated;nexus_s;pass
com.fsck.k9.debug;VariousMenuTest;testSettings;retranslated;nexus_s;pass
com.fsck.k9.debug;VariousMenuTest;testBackToUnifiedInbox;retranslated;nexus_s;pass
com.fsck.k9.debug;VariousMenuTest;testAccountFolders;retranslated;nexus_s;pass
com.fsck.k9.debug;VariousMenuTest;testAbout;retranslated;nexus_s;pass
com.fsck.k9.debug;MessageSortTest;testSortByDate;retranslated;nexus_s;pass
com.fsck.k9.debug;MessageSortTest;testSortBySender;retranslated;nexus_s;pass
com.fsck.k9.debug;MessageSortTest;testSortBySubject;retranslated;nexus_s;pass
com.fsck.k9.debug;MessageSortTest;testSortByReadUnread;retranslated;nexus_s;pass
com.fsck.k9.debug;MessageSortTest;testSortByArrival;retranslated;nexus_s;pass
com.fsck.k9.debug;MessageButtonsTest;testNavigateMessagesRight;retranslated;nexus_s;pass
com.fsck.k9.debug;MessageButtonsTest;testNavigateMessagesLeft;retranslated;nexus_s;pass
com.fsck.k9.debug;MessageButtonsTest;testInsideMessageButtons;retranslated;nexus_s;pass
com.fsck.k9.debug;MessageOperationsTest;testStarFromInside;retranslated;nexus_s;pass
com.fsck.k9.debug;MessageOperationsTest;testDeleteAndRestore;retranslated;nexus_s;pass
com.fsck.k9.debug;MessageOperationsTest;testDeleteFromInside;retranslated;nexus_s;pass
com.fsck.k9.debug;MessageOperationsTest;testDeleteMessage;retranslated;nexus_s;pass
com.fsck.k9.debug;MessageOperationsTest;testReply;retranslated;nexus_s;pass
com.fsck.k9.debug;MessageOperationsTest;testReplyAll;retranslated;nexus_s;pass
com.fsck.k9.debug;MessageOperationsTest;testForward;retranslated;nexus_s;pass
