Package;Class;Case;Execution;Result;TotalTime;NumInteractions;NumFallbacks
it.feio.android.omninotes.alpha;TestHome;testOrderByMenu;1;pass;10152;7;0
it.feio.android.omninotes.alpha;TestHome;testOrderByMenu;2;pass;10108;7;0
it.feio.android.omninotes.alpha;TestHome;testOrderByMenu;3;pass;10096;7;0
it.feio.android.omninotes.alpha;TestHome;testOrderByMenu;4;pass;10165;7;0
it.feio.android.omninotes.alpha;TestHome;testOrderByMenu;5;pass;10128;7;0
it.feio.android.omninotes.alpha;TestHome;testOrderByMenu;6;pass;10173;7;0
it.feio.android.omninotes.alpha;TestHome;testOrderByMenu;7;pass;10181;7;0
it.feio.android.omninotes.alpha;TestHome;testOrderByMenu;8;pass;10150;7;0
it.feio.android.omninotes.alpha;TestHome;testOrderByMenu;9;pass;10160;7;0
it.feio.android.omninotes.alpha;TestHome;testOrderByMenu;10;pass;10133;7;0
it.feio.android.omninotes.alpha;TestHome;testSearchButtons;1;pass;9125;7;0
it.feio.android.omninotes.alpha;TestHome;testSearchButtons;2;pass;9178;7;0
it.feio.android.omninotes.alpha;TestHome;testSearchButtons;3;pass;9150;7;0
it.feio.android.omninotes.alpha;TestHome;testSearchButtons;4;pass;9152;7;0
it.feio.android.omninotes.alpha;TestHome;testSearchButtons;5;pass;9158;7;0
it.feio.android.omninotes.alpha;TestHome;testSearchButtons;6;pass;9141;7;0
it.feio.android.omninotes.alpha;TestHome;testSearchButtons;7;pass;9125;7;0
it.feio.android.omninotes.alpha;TestHome;testSearchButtons;8;pass;9170;7;0
it.feio.android.omninotes.alpha;TestHome;testSearchButtons;9;pass;9201;7;0
it.feio.android.omninotes.alpha;TestHome;testSearchButtons;10;pass;9176;7;0
it.feio.android.omninotes.alpha;TestNoteCreation;testCreateNote;1;pass;10405;6;0
it.feio.android.omninotes.alpha;TestNoteCreation;testCreateNote;2;pass;9969;6;0
it.feio.android.omninotes.alpha;TestNoteCreation;testCreateNote;3;pass;9961;6;0
it.feio.android.omninotes.alpha;TestNoteCreation;testCreateNote;4;pass;9911;6;0
it.feio.android.omninotes.alpha;TestNoteCreation;testCreateNote;5;pass;9893;6;0
it.feio.android.omninotes.alpha;TestNoteCreation;testCreateNote;6;pass;9923;6;0
it.feio.android.omninotes.alpha;TestNoteCreation;testCreateNote;7;pass;9919;6;0
it.feio.android.omninotes.alpha;TestNoteCreation;testCreateNote;8;pass;9889;6;0
it.feio.android.omninotes.alpha;TestNoteCreation;testCreateNote;9;pass;9918;6;0
it.feio.android.omninotes.alpha;TestNoteCreation;testCreateNote;10;pass;9922;6;0
it.feio.android.omninotes.alpha;TestNoteCreation;testDeleteNote;1;fail;17954;7;1
it.feio.android.omninotes.alpha;TestNoteCreation;testDeleteNote;2;fail;17660;7;1
it.feio.android.omninotes.alpha;TestNoteCreation;testDeleteNote;3;fail;17812;7;1
it.feio.android.omninotes.alpha;TestNoteCreation;testDeleteNote;4;fail;17619;7;1
it.feio.android.omninotes.alpha;TestNoteCreation;testDeleteNote;5;fail;18152;7;1
it.feio.android.omninotes.alpha;TestNoteCreation;testDeleteNote;6;fail;17682;7;1
it.feio.android.omninotes.alpha;TestNoteCreation;testDeleteNote;7;fail;17776;7;1
it.feio.android.omninotes.alpha;TestNoteCreation;testDeleteNote;8;fail;18040;7;1
it.feio.android.omninotes.alpha;TestNoteCreation;testDeleteNote;9;fail;17720;7;1
it.feio.android.omninotes.alpha;TestNoteCreation;testDeleteNote;10;fail;17653;7;1
it.feio.android.omninotes.alpha;TestNoteCreation;testRestoreFromTrash;1;fail;23149;7;1
